diagnosis,count,percentage,global,irrelevant,local
anterolateral st elevation suggests early repolarization,234,0.01,1,0,1
lateral st elevation - cannot rule out myocardial injury,230,0.01,1,0,1
sinus rhythm with aberrantly conducted supraventricular complexes.,230,0.01,1,0,1
sinus tachycardia with irregular rate,228,0.01,1,0,0
anteroseptal st changes are nonspecific,226,0.01,0,0,1
consider old anteroseptal infarct,224,0.01,1,0,0
anterior st-t changes are nonspecific,224,0.01,0,0,1
sinus arrhythmia with pvcs,222,0.01,1,0,1
qrs axis leftward for age,221,0.01,1,0,0
*** extensive infarct with some acute changes ***,219,0.01,1,0,1
- frequent premature ventricular contractions,216,0.01,1,0,1
sinus tachycardia with frequent pvcs,216,0.01,1,0,1
atrial flutter with predominant 4:1 av block,215,0.01,1,0,0
"borderline st depression, lateral leads",212,0.01,0,0,1
possible idioventricular rhythm with slow ventricular response.,212,0.01,1,0,0
"extensive st elevation, consider acute infarct",212,0.01,1,0,1
high voltage in limb leads,211,0.01,0,0,1
sinus arrhythmia with pvc(s).,211,0.01,1,0,1
sinus tachycardia with pvcs,210,0.01,1,0,1
regular atrial pacing,209,0.01,1,0,1
premature ventricular contraction(s),208,0.01,1,0,1
marked sinus bradycardia.,208,0.01,1,0,0
low terminal qrs spatial velocity,206,0.01,0,0,1
sinus arrhythmia with 1st degree a-v block.,206,0.01,1,0,0
supraventricular tachycardia,206,0.01,1,0,0
"*** arm lead reversal - only avf, v1 - v6 analyzed ***",206,0.01,0,1,0
qrs axis superior to -30 degrees,205,0.01,1,0,0
"nonspecific repol abnormality, lateral leads",205,0.01,0,0,1
atrial-paced rhythm,205,0.01,1,0,1
probable anteroseptal infarct - age undetermined,204,0.01,1,0,0
sinus bradycardia with pvcs,202,0.01,1,0,1
wpw pattern,202,0.01,1,0,1
atrial fibrillation with frequent pvcs or aberrant ventricular conduction,201,0.01,1,0,1
atrial premature complexes in couplets,201,0.01,1,0,1
inferior and ant/septal t wave changes may be due to myocardial ischemia,199,0.01,1,0,1
extensive st-t changes are borderline abnormal,197,0.01,1,0,1
inferior and septal st-t changes are nonspecific,196,0.01,0,0,1
probable junctional rhythm.,196,0.01,1,0,0
possible ectopic atrial rhythm with pvc(s),196,0.01,1,0,1
left posterior fascicular block,195,0.01,1,0,1
"borderline st elevation, anterolateral leads",195,0.01,1,0,1
atrial flutter with predominant 3:1 av block,194,0.01,1,0,0
"posterior infarct, old",194,0.01,1,0,0
atrial fibrillation with frequent multifocal pvcs or aberrant ventricular conduction,191,0.01,1,0,1
possible anterolateral infarct - age undetermined,189,0.01,1,0,0
irregular ectopic atrial bradycardia,188,0.01,1,0,1
sinus bradycardia with pac(s) with borderline 1st degree a-v block,188,0.01,1,0,1
ventricular-paced complexes,187,0.01,1,0,1
possible anteroseptal infarction - age undetermined,187,0.01,1,0,0
lateral st elevation - repeat if myocardial injury is suspected,186,0.01,0,0,1
no further analysis made because of pacemaker rhythm.,186,0.01,1,0,0
inferior and ant/septal st-t changes are nonspecific,186,0.01,0,0,1
possible accelerated junctional rhythm.,185,0.01,1,0,0
accelerated junctional rhythm,185,0.01,1,0,0
inferior and anterior t wave changes may be due to myocardial ischemia,184,0.01,1,0,1
- aberrantly conducted supraventricular extrasystoles,183,0.01,1,0,1
possible ectopic atrial tachycardia.,182,0.01,1,0,0
septal st-t changes may be due to myocardial ischemia,182,0.01,1,0,1
sinus arrhythmia with borderline 1st degree a-v block.,182,0.01,1,0,0
atrial fibrillation with rapid ventricular response with pvcs,181,0.01,1,0,1
dual chamber pacemaker,181,0.01,1,0,1
extensive st-t changes are abnormal,180,0.01,1,0,1
sinus rhythm with pacs with 1st degree a-v block,180,0.01,1,0,1
inferior st-t changes suggest myocardial injury/ischemia,179,0.01,1,0,1
st elevation also present,179,0.01,0,0,1
sinus bradycardia with pvc(s).,179,0.01,1,0,1
anterolateral st changes are nonspecific,179,0.01,0,0,1
possible lvh with st-t changes,178,0.01,1,0,1
inferior st-t changes may be due to hypertrophy and/or ischemia,177,0.01,1,0,1
aberrant conduction of sv complex(es),177,0.01,1,0,1
sinus rhythm with pac(s) with borderline 1st degree a-v block.,177,0.01,1,0,1
sinus rhythm with pvc(s) with 1st degree a-v block.,177,0.01,1,0,1
"unknown rhythm, irregular rate",176,0.01,1,0,0
atrial flutter with predominant 2:1 av block,176,0.01,1,0,0
aberrant complex,175,0.01,1,0,1
inferior and lateral st elevation suggests early repolarization,174,0.01,1,0,1
sinus rhythm with pvcs with 1st degree a-v block,173,0.01,1,0,1
sinus or ectopic atrial bradycardia,173,0.01,1,0,0
anteroseptal st-t changes are nonspecific,172,0.01,0,0,1
sinus rhythm with frequent pacs,171,0.01,1,0,1
consider inferior infarct,170,0.01,1,0,0
sinus pause,169,0.01,1,0,0
"st depression, probably rate related",169,0.01,0,0,1
"borderline st depression, anterolateral leads",169,0.01,0,0,1
anteroseptal st elevation - possible early repolarization,168,0.01,1,0,1
atrial fibrillation with rapid ventricular response with pvcs or aberrant ventricular conduction,168,0.01,1,0,1
sinus rhythm with interpolated pvc(s),167,0.01,1,0,1
atrial flutter with 3:1 a-v block,166,0.01,1,0,0
"anterior infarct, age indeterminate",165,0.01,1,0,0
"sinus rhythm with 2nd degree a-v block, mobitz i (wenckebach)",165,0.01,1,0,0
sinus rhythm with pacs with borderline 1st degree a-v block,165,0.01,1,0,1
septal st elevation - repeat if myocardial injury is suspected,165,0.01,0,1,1
*** anterolateral infarct - possibly acute ***,163,0.01,1,0,0
ectopic atrial bradycardia,163,0.01,1,0,0
septal t wave changes may be due to myocardial ischemia,162,0.01,1,0,1
"probable inferior infarct, age indeterminate",162,0.01,1,0,0
abnormal ventricular conduction pathways,161,0.01,1,0,0
sinus rhythm with pvc(s) with borderline 1st degree a-v block.,161,0.01,1,0,1
possible acute anterior infarct,161,0.01,1,0,0
anterolateral st-t changes,161,0.01,0,0,1
"ventricular tachycardia, unsustained",161,0.01,1,0,0
lead(s) unsuitable for analysis: i,160,0.01,0,1,0
qrs changes may be due to lvh but cannot rule out anteroseptal infarct,159,0.01,1,0,1
junctional tachycardia,158,0.01,1,0,0
irregular sinus tachycardia,158,0.01,1,0,0
regular rhythm,157,0.01,1,0,0
possible junctional rhythm,156,0.01,1,0,0
sinus tachycardia with pvc(s) with pac(s).,156,0.01,1,0,1
"probable inferior infarct, old",155,0.01,1,0,0
premature ventricular contractions,155,0.01,1,0,1
lvh with repolarization abnormality,154,0.01,1,0,1
sinus rhythm with frequent multifocal pvcs.,154,0.01,1,0,1
qrs changes in v2 may be due to lvh but cannot rule out septal infarct,153,0.01,1,0,1
anteroseptal st changes suggest myocardial injury/ischemia,152,0.01,1,0,1
sinus rhythm with pvcs with borderline 1st degree a-v block,152,0.01,1,0,1
extensive t wave changes,152,0.01,0,0,1
borderline high qrs voltage - probable normal variant,152,0.01,1,0,1
inferior and ant/septal st-t changes may be due to myocardial ischemia,151,0.01,1,0,1
inferior t wave changes are borderline abnormal,151,0.01,1,0,1
inferior/lateral t changes are probably due to ventricular hypertrophy,150,0.01,1,0,1
inferior st-t changes may be normal for age,149,0.01,0,0,1
consider old septal infarct,149,0.01,1,0,0
sinus arrhythmia with pvcs.,148,0.01,1,0,1
septal and lateral st-t changes are probably due to ventricular hypertrophy,148,0.01,1,0,1
a-v dual-paced rhythm with some inhibition,148,0.01,1,0,0
with rapid ventricular response,146,0.01,1,0,0
appearances provide additional evidence of myocardial ischemia,146,0.01,1,0,0
- interpolated pvcs,146,0.01,1,0,1
ant/septal and lateral st-t changes suggest myocardial infarct,145,0.01,1,0,1
abnormally high lewis index,145,0.01,1,0,0
possible faulty v3 - omitted from analysis,144,0.01,0,1,0
atrial fibrillation with slow ventricular response with pvc(s) or aberrant ventricular conduction,143,0.01,1,0,1
anterolateral t wave changes,143,0.01,0,0,1
lateral t wave changes,142,0.01,0,0,1
"--- suspect limb lead reversal - only avf, v1-v6 analyzed ---",141,0.01,0,1,0
lead(s) unsuitable for analysis: avl,141,0.01,0,1,0
sinus bradycardia with sinus arrhythmia with pvc(s),140,0.01,1,0,1
probable septal infarct - age undetermined,140,0.01,1,0,0
possible atrial flutter with pvc(s) or aberrant ventricular conduction,138,0.01,1,0,1
q in anteroseptal leads,138,0.01,0,0,1
consider anteroseptal infarct - age undetermined,138,0.01,1,0,0
"st depr, consider ischemia, anterolateral lds",137,0.01,1,0,1
anteroseptal st-t changes suggest myocardial injury/ischemia,137,0.01,1,0,1
anteroseptal st-t changes may be due to myocardial ischemia,134,0.0,1,0,1
sinus bradycardia with pvcs.,134,0.0,1,0,1
"st elevation, consider anterolateral injury",133,0.0,1,0,1
supraventricular extrasystoles,132,0.0,1,0,1
sinus tachycardia with pvcs with pacs.,132,0.0,1,0,1
probable right ventricular hypertrophy,131,0.0,1,0,0
lvh with st-t changes,131,0.0,1,0,1
probable atrial fibrillation with rapid ventricular response,131,0.0,1,0,0
changes may be due partly to rate/rhythm,128,0.0,1,0,0
sinus rhythm with bigeminal pacs.,128,0.0,1,0,1
abnormal extreme qrs axis deviation,127,0.0,1,0,0
extensive t wave changes are borderline abnormal,126,0.0,1,0,1
changes may also partly be due to rate,126,0.0,0,1,0
"probable lateral infarct, age indeterminate",126,0.0,1,0,0
atrial fibrillation with paroxysmal idioventricular rhythm or aberrant ventricular conduction,126,0.0,1,0,1
sinus bradycardia with interpolated pvc(s),125,0.0,1,0,1
sinus tachycardia with frequent pvcs.,125,0.0,1,0,1
atrial flutter with uncontrolled ventricular response with 2:1 a-v block,124,0.0,1,0,0
"st depression v1-v3, suggest recording posterior leads",124,0.0,0,0,1
sinus rhythm with pvcs with 1st degree a-v block.,123,0.0,1,0,1
extensive t wave changes are probably due to ventricular hypertrophy,122,0.0,1,0,1
sinus rhythm with multifocal pvcs.,120,0.0,1,0,1
rsr' pattern in v1 or v2,120,0.0,0,0,1
possible acute inferior infarct,120,0.0,1,0,0
sinus rhythm with bigeminal pacs with 1st degree a-v block,120,0.0,1,0,1
lead(s) unsuitable for analysis: avr,120,0.0,0,1,0
atrial fibrillation with rapid ventricular response with multifocal pvcs or aberrant ventricular conduction,119,0.0,1,0,1
"abnrm t, probable ischemia, anterolateral lds",119,0.0,1,0,1
sinus rhythm with pacs with 1st degree a-v block.,118,0.0,1,0,1
left axis deviation - left anterior fascicular block,117,0.0,1,0,0
probable atrial fibrillation with pvc(s) or aberrant ventricular conduction.,117,0.0,1,0,1
extensive t wave changes are abnormal,117,0.0,1,0,1
atrial flutter with uncontrolled ventricular response with 2:1 a-v block.,117,0.0,1,0,0
sinus tachycardia with pac(s) with borderline 1st degree a-v block,117,0.0,1,0,1
sinus arrhythmia with frequent pvcs,115,0.0,1,0,1
i.v. conduction defect of left bundle branch block type,115,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with 1st degree a-v block.,115,0.0,1,0,0
sinus bradycardia with pvc(s) with 1st degree a-v block,115,0.0,1,0,1
atrial fibrillation with slow ventricular response with pvc(s).,114,0.0,1,0,1
atrial flutter with 4:1 a-v block.,114,0.0,1,0,0
"lvh w/ repol abnormalities, possible ischemia",114,0.0,1,0,1
*** complex qrs morphology - no further analysis ***,113,0.0,0,0,1
"probable anterolateral infarct, old",113,0.0,1,0,0
inferior and lateral t wave changes,113,0.0,0,0,1
atrial fibrillation with rapid ventricular response with frequent multifocal pvcs or aberrant ventricular conduction,112,0.0,1,0,1
"borderline st elevation, inferior leads",112,0.0,1,0,1
atrial fibrillation with frequent multifocal pvcs or aberrant ventricular conduction.,111,0.0,1,0,1
"probable anterior infarct, old",111,0.0,1,0,0
possible rv conduction delay,111,0.0,1,0,0
abnormal p terminal force,111,0.0,0,0,1
*** interpretation made without knowing patient's age ***,107,0.0,0,1,0
"posterior infarct, acute",107,0.0,1,0,0
"anterolateral infarct, acute",107,0.0,1,0,0
i.v. conduction defect of right bundle branch block type,107,0.0,1,0,1
inferior and anterior st-t changes may be due to myocardial ischemia,106,0.0,1,0,1
atrial fibrillation with multifocal pvcs or aberrant ventricular conduction.,106,0.0,1,0,1
lateral t wave changes are borderline abnormal,106,0.0,1,0,1
possible atrial flutter with slow ventricular response.,105,0.0,1,0,0
non specific st changes,105,0.0,0,0,1
extensive t wave changes suggest myocardial infarct,105,0.0,1,0,1
st junctional depression,105,0.0,0,0,1
*** septal infarct - possibly acute ***,104,0.0,1,0,0
inferior + anterior t wave change,104,0.0,0,0,1
these changes are probably due to ventricular hypertrophy,103,0.0,1,0,1
inferior t wave changes are probably due to ventricular hypertrophy,103,0.0,1,0,1
old lateral infarct,103,0.0,1,0,0
"st elevation, consider lateral injury",102,0.0,1,0,1
"anterior st elevation, consider acute infarct",102,0.0,1,0,1
anterior st elevation - repeat if myocardial injury is suspected,102,0.0,0,0,1
probable atrial fibrillation with pvc(s).,101,0.0,1,0,1
"st depr, consider ischemia, inferior leads",101,0.0,1,0,1
inferior/lateral st-t changes are borderline abnormal,101,0.0,1,0,1
consider septal infarct,101,0.0,1,0,0
sinus rhythm with occasional pacs,101,0.0,1,0,1
atrial fibrillation with frequent pvcs or aberrant ventricular conduction.,100,0.0,1,0,1
sinus bradycardia with aberrantly conducted supraventricular complexes,100,0.0,1,0,1
anteroseptal t wave changes,100,0.0,0,0,1
low r waves in anterior leads,100,0.0,0,0,1
probable atrial fibrillation.,100,0.0,1,0,0
"probable posterior infarct, acute",99,0.0,1,0,0
sinus bradycardia with pac(s) with 1st degree a-v block.,99,0.0,1,0,1
anteroseptal infarction - age undetermined,99,0.0,1,0,0
"ectopic atrial tachycardia, unifocal",99,0.0,1,0,1
interpretation made without knowledge of patient's age.,99,0.0,0,1,0
a-v dual-paced complexes w/ some inhibition,98,0.0,1,0,1
long qtc : possible hypocalcemia or t-u fusion,98,0.0,1,0,1
short pr : possible ventricular preexcitation,97,0.0,1,0,1
sinus rhythm with interpolated pvcs,97,0.0,1,0,1
sinus bradycardia with sinus arrhythmia with borderline 1st degree a-v block.,97,0.0,1,0,0
possible ectopic atrial rhythm with pac(s).,97,0.0,1,0,1
sinus tachycardia with sinus arrhythmia with pvc(s),97,0.0,1,0,1
atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia.,97,0.0,1,0,1
possible ectopic atrial bradycardia with pac(s),96,0.0,1,0,1
extensive infarction - age undetermined,96,0.0,1,0,0
atrial fibrillation with paroxysmal idioventricular rhythm or aberrant ventricular conduction.,96,0.0,1,0,1
"minimal st depression, diffuse leads",96,0.0,0,0,1
atrial fibrillation with intermittent conduction defect,96,0.0,1,0,0
anterolateral t wave changes are borderline abnormal,96,0.0,1,0,1
ant/septal and lateral t wave changes may be due to hypertrophy and/or ischemia,95,0.0,1,0,1
possible atrial flutter with pvc(s),95,0.0,1,0,1
inferior q + low r in anterior leads,95,0.0,0,0,1
atrial fibrillation with rapid ventricular response with frequent multifocal pvcs or aberrant ventricular conduction.,95,0.0,1,0,1
summary: tachycardia - otherwise normal,94,0.0,1,0,0
possible atrial flutter with rapid ventricular response with pvc(s) or aberrant ventricular conduction,94,0.0,1,0,1
"lateral infarct, age indeterminate",94,0.0,1,0,0
"inferior and ant/septal st elevation, consider acute infarct",94,0.0,1,0,1
sinus rhythm with pacs with borderline 1st degree a-v block.,93,0.0,1,0,1
"borderline st depression, diffuse leads",93,0.0,0,0,1
sinus rhythm with bigeminal pvcs with 1st degree a-v block,93,0.0,1,0,1
q wave in septal lead,92,0.0,0,0,1
possible septal infarction - age undetermined,92,0.0,1,0,0
*** interpretation made without knowing patient's gender ***,91,0.0,0,1,0
- demand atrial pacing,91,0.0,1,0,1
inferior/lateral st-t changes may be normal for age,91,0.0,0,0,1
septal st-t changes are borderline abnormal,90,0.0,1,0,1
"probable inferior infarct, acute",90,0.0,1,0,0
lad - possible left anterior fascicular block,90,0.0,1,0,0
sinus rhythm with frequent pvcs with borderline 1st degree a-v block,90,0.0,1,0,1
probable atrial fibrillation with pvcs or aberrant ventricular conduction,90,0.0,1,0,1
tall inferior p waves - possible right atrial abnormality,90,0.0,1,0,1
possible atrial flutter with uncontrolled ventricular response.,90,0.0,1,0,0
inferior/lateral t changes may be due to hypertrophy and/or ischemia,89,0.0,1,0,1
minimally prolonged qrs duration,89,0.0,0,0,1
septal and lateral st-t changes suggest myocardial injury/ischemia,89,0.0,1,0,1
sinus rhythm with frequent pacs.,88,0.0,1,0,1
septal st-t changes suggest myocardial injury/ischemia,87,0.0,1,0,1
sinus rhythm with frequent pvcs with 1st degree a-v block,87,0.0,1,0,1
possible rvh with secondary repolarization abnormality,87,0.0,1,0,1
sinus tachycardia with pvcs with pacs,87,0.0,1,0,1
inferior infarct - probably acute,86,0.0,1,0,0
regular a-v sequential pacing,86,0.0,1,0,1
"anterolateral infarct, old",86,0.0,1,0,0
ant/septal and lateral t wave changes suggest myocardial infarct,86,0.0,1,0,1
sinus bradycardia with pvc(s) with borderline 1st degree a-v block,86,0.0,1,0,1
wide-qrs tachycardia,85,0.0,1,0,1
inferior/lateral st-t changes are abnormal,85,0.0,1,0,1
septal st-t changes may be due to hypertrophy and/or ischemia,85,0.0,1,0,1
t wave changes in the septal lead,84,0.0,0,0,1
possible ectopic atrial rhythm with pacs,84,0.0,1,0,1
irregular ectopic atrial rhythm.,84,0.0,1,0,1
